name,nation,position,team,age,year_born,full_games,touches,touches_defensive_pen_area,touches_defensive_third,touches_mid_third,touches_attacking_third,touches_attacking_pen_area,live_ball_touches,take_on_attempts,successful_take_on,take_on_percentage,tackled_during_take_on,ball_carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_recieved,progressive_passes_recieved,season,competition
Max Aarons,ENG,DF,Bournemouth,24,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,41,152,68,1,0,0,1,0,40,3,2024-2025,Premier-League
Joshua Acheampong,ENG,DF,Chelsea,18,2006,1.9,137,7,48,81,8,3,137,2,1,50.0,0,106,709,409,0,2,0,2,0,111,0,2024-2025,Premier-League
Tyler Adams,USA,MF,Bournemouth,25,1999,21.8,1337,62,349,779,224,18,1337,18,4,22.2,10,663,3337,1447,14,22,1,28,12,757,10,2024-2025,Premier-League
Tosin Adarabioyo,ENG,DF,Chelsea,26,1997,15.7,1330,175,630,674,27,14,1330,6,4,66.7,1,777,3207,1809,5,2,0,4,0,1000,1,2024-2025,Premier-League
Simon Adingra,CIV,"FW,MF",Brighton,22,2002,12.2,548,10,66,174,315,76,548,50,21,42.0,27,366,2514,1300,50,21,27,39,12,388,136,2024-2025,Premier-League
Emmanuel Agbadou,CIV,DF,Wolves,27,1997,15.7,1172,190,649,504,28,7,1172,13,10,76.9,2,758,3670,1752,6,4,0,6,4,796,2,2024-2025,Premier-League
Asher Agbinone,ENG,MF,Crystal Palace,18,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,5,53,23,2,0,0,0,1,5,1,2024-2025,Premier-League
Ola Aina,NGA,DF,Nott'ham Forest,27,1996,33.3,1708,156,613,717,409,22,1708,72,33,45.8,27,749,4798,2787,67,46,10,44,22,823,67,2024-2025,Premier-League
Rayan Aït-Nouri,ALG,DF,Wolves,23,2001,34.5,2148,96,577,916,685,96,2148,137,63,46.0,56,1129,6166,3205,89,62,28,52,47,1321,176,2024-2025,Premier-League
Kristoffer Ajer,NOR,DF,Brentford,26,1998,16.0,795,53,265,368,168,38,795,16,7,43.8,8,387,2098,1180,27,11,2,15,12,491,44,2024-2025,Premier-League
Manuel Akanji,SUI,DF,Manchester City,29,1995,22.4,1881,119,559,920,405,19,1881,2,2,100.0,0,1254,6953,4234,46,64,0,5,5,1483,7,2024-2025,Premier-League
Nathan Aké,NED,DF,Manchester City,29,1995,7.5,596,51,205,331,61,5,596,1,1,100.0,0,403,2244,1501,12,12,1,4,3,449,2,2024-2025,Premier-League
Carlos Alcaraz,ARG,MF,Southampton,21,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,12,112,98,4,1,0,0,0,12,1,2024-2025,Premier-League
Carlos Alcaraz,ARG,"FW,MF",Everton,21,2002,8.5,378,15,63,168,156,19,378,18,9,50.0,7,211,1331,707,19,21,2,14,13,247,21,2024-2025,Premier-League
